gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Hydro_Pumped,Water,2038,-7362.447489920138,0.0,0.0,9618.557886065319,945359317.98594,34356472.11980469,46.75408106681711,0.24869469024041002,28317.10573046207,20954.658240541932
Hydro_Pumped,Water,2048,-8953.734997992717,0.0,0.0,15944.99,945359317.98594,56953818.94818119,39.331527593564594,0.18244595995828525,34437.44229997198,25483.707301979266
Nuclear_EP_SEA,Uranium,2038,178476.3715485696,708331927.5769413,0.0,23564.0,3748389490.0866084,1550837131.0912833,33.66024587249057,0.8646246399999999,0.0,0.0
Nuclear_EP_SEA,Uranium,2048,143590.0123840512,569875941.3938063,0.0,18958.0,3016150745.4004054,1307101647.2203157,34.07707996380127,0.8646246399999999,0.0,0.0
Nuclear_SEA,Uranium,2038,107105.51561994241,70846218.72252539,0.0,14141.0,1770350441.1545894,336734382.2923816,20.33444337169111,0.86462464,0.0,0.0
Nuclear_SEA,Uranium,2048,141991.87478446082,93922216.41971456,0.0,18747.0,2346988170.5908413,446415350.034317,20.33444337169111,0.8646246400000002,0.0,0.0
Nuclear_SMR,Uranium,2038,17799.162839039996,11773468.212851614,0.0,2350.0,633719321.79948,111919354.83870967,42.553245436339445,0.8646246399999998,0.0,0.0
Nuclear_SMR,Uranium,2048,17799.162839039996,11773468.212851614,0.0,2350.0,633719321.79948,111919354.83870967,42.553245436339445,0.8646246399999998,0.0,0.0
Offshore_Wind,Wind,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Offshore_Wind,Wind,2048,80455.08122296847,0.0,0.0,20028.97393725573,3174211043.83403,1616945453.3567371,59.550701141085646,0.45855419410867576,0.0,0.0
Residential_PV,Solar,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential_PV,Solar,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,Wind,2038,79478.99148294015,0.0,0.0,37694.400001,2480242850.059038,1029528038.4059912,44.15973105570151,0.24069740420252475,0.0,0.0
Wind,Wind,2048,136026.68982980118,0.0,0.0,65670.00000500001,4124940476.0351524,1738221362.3440785,43.103025190977704,0.2364574529966915,0.0,0.0
Wind_EP,Wind,2038,19559.463071006063,0.0,0.0,11558.1,1127275809.9217486,183485829.10089225,67.01419329683166,0.19318187410254445,0.0,0.0
