load_zone,technology,period,capacity
Anhui,EP_Coal_300_RC,2048,0
Anhui,EP_Coal_300_RC_CCS,2038,0
Anhui,EP_Coal_300_RC_CCS,2048,0
Anhui,EP_Coal_300_RC_H2,2038,0
Anhui,EP_Coal_300_RC_H2,2048,0
Anhui,EP_Coal_300_SEA,2038,0.0
Anhui,EP_Coal_300_SEA,2048,0.0
Anhui,EP_Coal_300_SEA_CCS,2038,0.0
Anhui,EP_Coal_300_SEA_CCS,2048,0.0
Anhui,EP_Coal_300_SEA_H2,2038,0.0
Anhui,EP_Coal_300_SEA_H2,2048,0.0
Anhui,EP_Coal_600_OT,2038,6540.0
Anhui,EP_Coal_600_OT,2048,2640.0
Anhui,EP_Coal_600_OT_CCS,2038,0
Anhui,EP_Coal_600_OT_CCS,2048,0
Anhui,EP_Coal_600_OT_H2,2038,0
Anhui,EP_Coal_600_OT_H2,2048,0
Anhui,EP_Coal_600_RC,2038,21180.0
Anhui,EP_Coal_600_RC,2048,9870.0
Anhui,EP_Coal_600_RC_CCS,2038,0
Anhui,EP_Coal_600_RC_CCS,2048,0
Anhui,EP_Coal_600_RC_H2,2038,0
Anhui,EP_Coal_600_RC_H2,2048,0
Anhui,EP_Coal_600_SEA,2038,0.0
Anhui,EP_Coal_600_SEA,2048,0.0
Anhui,EP_Coal_600_SEA_CCS,2038,0.0
Anhui,EP_Coal_600_SEA_CCS,2048,0.0
Anhui,EP_Coal_600_SEA_H2,2038,0.0
Anhui,EP_Coal_600_SEA_H2,2048,0.0
Anhui,EP_Gas_CCGT_OT,2038,0.0
Anhui,EP_Gas_CCGT_OT,2048,0.0
Anhui,EP_Gas_CCGT_RC,2038,0.0
Anhui,EP_Gas_CCGT_RC,2048,0.0
Anhui,EP_Gas_CCGT_SEA,2038,0.0
Anhui,EP_Gas_CCGT_SEA,2048,0.0
Anhui,Fuel_Cell,2038,0.0
Anhui,Fuel_Cell,2048,0.0
Anhui,Gas_CCGT_OT,2038,0.0
Anhui,Gas_CCGT_OT,2048,0.0
Anhui,Gas_CCGT_RC,2038,0.0
Anhui,Gas_CCGT_RC,2048,0.0
Anhui,Gas_CCGT_SEA,2038,0.0
Anhui,Gas_CCGT_SEA,2048,0.0
Anhui,Gas_Combustion_Turbine_RC,2038,0.0
Anhui,Gas_Combustion_Turbine_RC,2048,0.0
Anhui,Hydro_NonPumped,2038,2001.3781652464158
Anhui,Hydro_NonPumped,2048,2001.3781652464158
Anhui,Hydro_Pumped,2038,2080.218444284813
Anhui,Hydro_Pumped,2048,3680.0
Anhui,Hydro_Pumped_MWh,2038,88320.0
Anhui,Hydro_Pumped_MWh,2048,88320.0
Anhui,Nuclear_EP_SEA,2038,0.0
Anhui,Nuclear_EP_SEA,2048,0.0
Anhui,Nuclear_SEA,2038,0.0
Anhui,Nuclear_SEA,2048,0.0
Anhui,Nuclear_SMR,2038,2350.0
Anhui,Nuclear_SMR,2048,2350.0
Anhui,Offshore_Wind,2038,0.0
Anhui,Offshore_Wind,2048,0.0
Anhui,Residential_PV,2038,0.0
Anhui,Residential_PV,2048,0.0
Anhui,Wind,2038,0.0
Anhui,Wind,2048,9030.0
Anhui,Wind_EP,2038,2174.0
Anhui,Wind_EP,2048,0
Anhui,hydro,2038,0.0
Anhui,hydro,2048,0.0
Anhui,fuel cells,2038,0.0
Anhui,fuel cells,2048,0.0
Fujian,Battery_Storage,2038,0.0
Fujian,Battery_Storage,2048,9646.643472305099
