GEN_TPS_1,GEN_TPS_2,ShutdownGenCapacity
Anhui-Coal_100_RC-ep-1233,2040.12.19.20,-0.0
Anhui-Coal_100_RC-ep-1234,2040.06.26.00,-0.0
Anhui-Coal_100_RC-ep-1234,2040.06.26.04,-0.0
Anhui-Coal_100_RC-ep-1234,2040.06.26.08,-0.0
Anhui-Coal_100_RC-ep-1234,2040.06.26.12,-0.0
Anhui-Coal_100_RC-ep-1234,2040.06.26.16,-0.0
Anhui-Coal_100_RC-ep-1234,2040.06.26.20,-0.0
Anhui-Coal_100_RC-ep-1234,2040.12.19.00,-0.0
Anhui-Coal_100_RC-ep-1234,2040.12.19.04,-0.0
Anhui-Coal_100_RC-ep-1234,2040.12.19.08,-0.0
Anhui-Coal_100_RC-ep-1234,2040.12.19.12,-0.0
Anhui-Coal_100_RC-ep-1234,2040.12.19.16,-0.0
Anhui-Coal_100_RC-ep-1234,2040.12.19.20,-0.0
Anhui-Coal_300_OT-12111,2040.06.26.00,-0.0
Anhui-Coal_300_OT-12111,2040.06.26.04,-0.0
Anhui-Coal_300_OT-12111,2040.06.26.08,-0.0
Anhui-Coal_300_OT-12111,2040.06.26.12,-0.0
Anhui-Coal_300_OT-12111,2040.06.26.16,-0.0
Anhui-Coal_300_OT-12111,2040.06.26.20,-0.0
Anhui-Coal_300_OT-12111,2040.12.19.00,-0.0
Anhui-Coal_300_OT-12111,2040.12.19.04,-0.0
Anhui-Coal_300_OT-12111,2040.12.19.08,-0.0
Anhui-Coal_300_OT-12111,2040.12.19.12,-0.0
Anhui-Coal_300_OT-12111,2040.12.19.16,-0.0
Anhui-Coal_300_OT-12111,2040.12.19.20,-0.0
Anhui-Coal_300_OT-12111,2050.06.12.00,-0.0
Anhui-Coal_300_OT-12111,2050.06.12.04,-0.0
Anhui-Coal_300_OT-12111,2050.06.12.08,-0.0
Anhui-Coal_300_OT-12111,2050.06.12.12,-0.0
Anhui-Coal_300_OT-12111,2050.06.12.16,-0.0
Anhui-Coal_300_OT-12111,2050.06.12.20,-0.0
Anhui-Coal_300_OT-12111,2050.12.12.00,-0.0
Anhui-Coal_300_OT-12111,2050.12.12.04,-0.0
Anhui-Coal_300_OT-12111,2050.12.12.08,-0.0
Anhui-Coal_300_OT-12111,2050.12.12.12,-0.0
Anhui-Coal_300_OT-12111,2050.12.12.16,-0.0
Anhui-Coal_300_OT-12111,2050.12.12.20,-0.0
Anhui-Coal_300_RC-12119,2040.06.26.00,-0.0
Anhui-Coal_300_RC-12119,2040.06.26.04,-0.0
Anhui-Coal_300_RC-12119,2040.06.26.08,-0.0
Anhui-Coal_300_RC-12119,2040.06.26.12,-0.0
Anhui-Coal_300_RC-12119,2040.06.26.16,-0.0
Anhui-Coal_300_RC-12119,2040.06.26.20,-0.0
Anhui-Coal_300_RC-12119,2040.12.19.00,-0.0
Anhui-Coal_300_RC-12119,2040.12.19.04,-0.0
Anhui-Coal_300_RC-12119,2040.12.19.08,-0.0
Anhui-Coal_300_RC-12119,2040.12.19.12,-0.0
Anhui-Coal_300_RC-12119,2040.12.19.16,-0.0
Anhui-Coal_300_RC-12119,2040.12.19.20,-0.0
Anhui-Coal_300_RC-12119,2050.06.12.00,-0.0
Anhui-Coal_300_RC-12119,2050.06.12.04,-0.0
Anhui-Coal_300_RC-12119,2050.06.12.08,-0.0
Anhui-Coal_300_RC-12119,2050.06.12.12,-0.0
Anhui-Coal_300_RC-12119,2050.06.12.16,-0.0
Anhui-Coal_300_RC-12119,2050.06.12.20,-0.0
Anhui-Coal_300_RC-12119,2050.12.12.00,-0.0
Anhui-Coal_300_RC-12119,2050.12.12.04,-0.0
Anhui-Coal_300_RC-12119,2050.12.12.08,-0.0
Anhui-Coal_300_RC-12119,2050.12.12.12,-0.0
Anhui-Coal_300_RC-12119,2050.12.12.16,-0.0
Anhui-Coal_300_RC-12119,2050.12.12.20,-0.0
Anhui-Coal_300_RC-12129,2040.06.26.00,-0.0
Anhui-Coal_300_RC-12129,2040.06.26.04,-0.0
Anhui-Coal_300_RC-12129,2040.06.26.08,-0.0
Anhui-Coal_300_RC-12129,2040.06.26.12,-0.0
Anhui-Coal_300_RC-12129,2040.06.26.16,-0.0
Anhui-Coal_300_RC-12129,2040.06.26.20,-0.0
Anhui-Coal_300_RC-12129,2040.12.19.00,-0.0
Anhui-Coal_300_RC-12129,2040.12.19.04,-0.0
Anhui-Coal_300_RC-12129,2040.12.19.08,-0.0
Anhui-Coal_300_RC-12129,2040.12.19.12,-0.0
Anhui-Coal_300_RC-12129,2040.12.19.16,-0.0
Anhui-Coal_300_RC-12129,2040.12.19.20,-0.0
Anhui-Coal_300_RC-12129,2050.06.12.00,-0.0
Anhui-Coal_300_RC-12129,2050.06.12.04,-0.0
Anhui-Coal_300_RC-12129,2050.06.12.08,-0.0
Anhui-Coal_300_RC-12129,2050.06.12.12,-0.0
Anhui-Coal_300_RC-12129,2050.06.12.16,-0.0
Anhui-Coal_300_RC-12129,2050.06.12.20,-0.0
Anhui-Coal_300_RC-12129,2050.12.12.00,-0.0
Anhui-Coal_300_RC-12129,2050.12.12.04,-0.0
Anhui-Coal_300_RC-12129,2050.12.12.08,-0.0
Anhui-Coal_300_RC-12129,2050.12.12.12,-0.0
Anhui-Coal_300_RC-12129,2050.12.12.16,-0.0
Anhui-Coal_300_RC-12129,2050.12.12.20,-0.0
Anhui-Coal_600_OT-12109,2040.06.26.00,-0.0
Anhui-Coal_600_OT-12109,2040.06.26.04,-0.0
Anhui-Coal_600_OT-12109,2040.06.26.08,-0.0
Anhui-Coal_600_OT-12109,2040.06.26.12,-0.0
Anhui-Coal_600_OT-12109,2040.06.26.16,-0.0
Anhui-Coal_600_OT-12109,2040.06.26.20,-0.0
Anhui-Coal_600_OT-12109,2040.12.19.00,-0.0
Anhui-Coal_600_OT-12109,2040.12.19.04,-0.0
Anhui-Coal_600_OT-12109,2040.12.19.08,-0.0
Anhui-Coal_600_OT-12109,2040.12.19.12,-0.0
Anhui-Coal_600_OT-12109,2040.12.19.16,-0.0
Anhui-Coal_600_OT-12109,2040.12.19.20,-0.0
Anhui-Coal_600_OT-12109,2050.06.12.00,-0.0
Anhui-Coal_600_OT-12109,2050.06.12.04,-0.0
Anhui-Coal_600_OT-12109,2050.06.12.08,-0.0
Anhui-Coal_600_OT-12109,2050.06.12.12,-0.0
Anhui-Coal_600_OT-12109,2050.06.12.16,-0.0
Anhui-Coal_600_OT-12109,2050.06.12.20,-0.0
Anhui-Coal_600_OT-12109,2050.12.12.00,-0.0
Anhui-Coal_600_OT-12109,2050.12.12.04,-0.0
Anhui-Coal_600_OT-12109,2050.12.12.08,-0.0
Anhui-Coal_600_OT-12109,2050.12.12.12,-0.0
Anhui-Coal_600_OT-12109,2050.12.12.16,-0.0
Anhui-Coal_600_OT-12109,2050.12.12.20,-0.0
Anhui-Coal_600_RC-12117,2040.06.26.00,-0.0
Anhui-Coal_600_RC-12117,2040.06.26.04,-0.0
Anhui-Coal_600_RC-12117,2040.06.26.08,-0.0
Anhui-Coal_600_RC-12117,2040.06.26.12,-0.0
Anhui-Coal_600_RC-12117,2040.06.26.16,-0.0
Anhui-Coal_600_RC-12117,2040.06.26.20,-0.0
Anhui-Coal_600_RC-12117,2040.12.19.00,-0.0
Anhui-Coal_600_RC-12117,2040.12.19.04,-0.0
Anhui-Coal_600_RC-12117,2040.12.19.08,-0.0
Anhui-Coal_600_RC-12117,2040.12.19.12,-0.0
Anhui-Coal_600_RC-12117,2040.12.19.16,-0.0
Anhui-Coal_600_RC-12117,2040.12.19.20,-0.0
Anhui-Coal_600_RC-12117,2050.06.12.00,-0.0
Anhui-Coal_600_RC-12117,2050.06.12.04,-0.0
Anhui-Coal_600_RC-12117,2050.06.12.08,-0.0
Anhui-Coal_600_RC-12117,2050.06.12.12,-0.0
Anhui-Coal_600_RC-12117,2050.06.12.16,-0.0
Anhui-Coal_600_RC-12117,2050.06.12.20,-0.0
Anhui-Coal_600_RC-12117,2050.12.12.00,-0.0
Anhui-Coal_600_RC-12117,2050.12.12.04,-0.0
Anhui-Coal_600_RC-12117,2050.12.12.08,-0.0
Anhui-Coal_600_RC-12117,2050.12.12.12,-0.0
Anhui-Coal_600_RC-12117,2050.12.12.16,-0.0
Anhui-Coal_600_RC-12117,2050.12.12.20,-0.0
Anhui-Coal_600_RC-12127,2040.06.26.00,-0.0
Anhui-Coal_600_RC-12127,2040.06.26.04,-0.0
Anhui-Coal_600_RC-12127,2040.06.26.08,-0.0
Anhui-Coal_600_RC-12127,2040.06.26.12,-0.0
Anhui-Coal_600_RC-12127,2040.06.26.16,-0.0
Anhui-Coal_600_RC-12127,2040.06.26.20,-0.0
Anhui-Coal_600_RC-12127,2040.12.19.00,-0.0
Anhui-Coal_600_RC-12127,2040.12.19.04,-0.0
Anhui-Coal_600_RC-12127,2040.12.19.08,-0.0
Anhui-Coal_600_RC-12127,2040.12.19.12,-0.0
Anhui-Coal_600_RC-12127,2040.12.19.16,-0.0
Anhui-Coal_600_RC-12127,2040.12.19.20,-0.0
Anhui-Coal_600_RC-12127,2050.06.12.00,-0.0
Anhui-Coal_600_RC-12127,2050.06.12.04,-0.0
Anhui-Coal_600_RC-12127,2050.06.12.08,-0.0
Anhui-Coal_600_RC-12127,2050.06.12.12,-0.0
Anhui-Coal_600_RC-12127,2050.06.12.16,-0.0
Anhui-Coal_600_RC-12127,2050.06.12.20,-0.0
Anhui-Coal_600_RC-12127,2050.12.12.00,-0.0
Anhui-Coal_600_RC-12127,2050.12.12.04,-0.0
Anhui-Coal_600_RC-12127,2050.12.12.08,-0.0
Anhui-Coal_600_RC-12127,2050.12.12.12,-0.0
Anhui-Coal_600_RC-12127,2050.12.12.16,-0.0
Anhui-Coal_600_RC-12127,2050.12.12.20,-0.0
Anhui-Coal_IGCC_RC-12121,2040.06.26.00,-0.0
Anhui-Coal_IGCC_RC-12121,2040.06.26.04,-0.0
Anhui-Coal_IGCC_RC-12121,2040.06.26.08,-0.0
